ObjNum	OriginX	OriginY	OriginZ	Flags	Solid	FadeMinDist	FadeMaxDist	PropTypeEntry
0	-764,159	-793,75	198,933	0	6	0	0	models/scenery/street/pierlight/pierlight.mdl
1	-1113	-656,318	198,933	0	6	0	0	models/scenery/street/pierlight/pierlight.mdl
2	-947,842	-118,251	198,933	0	6	0	0	models/scenery/street/pierlight/pierlight.mdl
3	-599,003	-255,682	198,933	0	6	0	0	models/scenery/street/pierlight/pierlight.mdl
4	384	-1656	10	1	6	2800	3111	models/scenery/misc/rocks/faceb.mdl
5	-1476	1684	252	17	6	2800	3111	models/scenery/plants/pine/pine.mdl
6	-1324	1269	224	17	6	2800	3111	models/scenery/plants/pine/pine.mdl
7	-487	1632	184	17	6	2800	3111	models/scenery/plants/pine/pine_group.mdl
8	-20	1540	184	17	6	2800	3111	models/scenery/plants/pine/pine.mdl
9	588	40	228	17	6	2800	3111	models/scenery/plants/pine/pine_group.mdl
10	256	-576	247	17	6	2800	3111	models/scenery/plants/pine/pine_group.mdl
11	856	-1196	200	17	0	2800	3111	models/scenery/plants/pine/pine.mdl
12	-416	-1504	192	17	6	2800	3111	models/scenery/plants/pine/pine.mdl
13	-738,954	-1559,2	58,3596	17	6	2800	3111	models/scenery/misc/rocks/indiva.mdl
14	-488	-920	252	17	6	2800	3111	models/scenery/plants/pine/pine_group.mdl
15	-952	-952	230	17	6	2800	3111	models/scenery/plants/pine/pine_group.mdl
16	-672	-1856	240	17	6	2800	3111	models/scenery/plants/pine/pine_group.mdl
17	-1476	-1144	236	17	6	2800	3111	models/scenery/plants/pine/pine_group.mdl
18	-2104	-992	176	17	6	2800	3111	models/scenery/plants/pine/pine.mdl
19	-2004	-492	188	17	6	2800	3111	models/scenery/plants/pine/pine_group.mdl
20	-1652	-452	212	17	6	2800	3111	models/scenery/plants/pine/pine.mdl
21	-2088	-96	200	17	6	2800	3111	models/scenery/plants/pine/pine_group.mdl
22	-1642	152	254	17	6	2800	3111	models/scenery/plants/pine/pine_group.mdl
23	-1608	556	200	17	6	2800	3111	models/scenery/plants/pine/pine.mdl
24	-2159	485	94,0663	1	6	2800	3111	models/scenery/misc/rocks/indivc.mdl
25	-1625,67	1268,68	136,066	1	6	2800	3111	models/scenery/misc/rocks/indivb.mdl
26	-1768	1155	7,06599	1	6	2800	3111	models/scenery/misc/rocks/indivb.mdl
27	-2260	-438	49	1	6	2800	3111	models/scenery/misc/rocks/indivc.mdl
28	-722	1906	-140	1	6	2800	3111	models/scenery/misc/rocks/faceb.mdl
29	330	1418	-208	1	6	2800	3111	models/scenery/misc/rocks/facea.mdl
30	747,564	747,37	10,0663	17	6	2800	3111	models/scenery/misc/rocks/indiva.mdl
31	607	-440	110	17	6	2800	3111	models/scenery/misc/rocks/indiva.mdl
32	405	-403	86	1	6	2800	3111	models/scenery/misc/rocks/indivb.mdl
33	888	-88	-176	1	6	2800	3111	models/scenery/misc/rocks/facea.mdl
34	972	-635	36	1	6	2800	3111	models/scenery/misc/rocks/faceb.mdl
35	504	-2088	-124	1	6	2800	3111	models/scenery/misc/rocks/faceb.mdl
36	-770	-1522	196	1	6	2800	3111	models/scenery/misc/rocks/facea.mdl
37	-1686	-1466	168,066	1	6	2800	3111	models/scenery/misc/rocks/faceb.mdl
