ObjNum	OriginX	OriginY	OriginZ	Flags	Solid	FadeMinDist	FadeMaxDist	PropTypeEntry
0	-784	1396	10	17	6	6000	7000	models/scenery/structural/gio_rail/lantern.mdl
1	-592	1396	10	17	6	6000	7000	models/scenery/structural/gio_rail/lantern.mdl
2	-400	1396	10	17	6	6000	7000	models/scenery/structural/gio_rail/lantern.mdl
3	-690,578	1364,49	-355,579	1	6	6000	7000	models/scenery/structural/gio_rail/endpiece.mdl
4	-690,842	1364,49	-324	1	6	6000	7000	models/scenery/structural/gio_rail/planter.mdl
5	-495,734	1364,49	-355,579	1	6	6000	7000	models/scenery/structural/gio_rail/endpiece.mdl
6	-495,998	1364,49	-324	1	6	6000	7000	models/scenery/structural/gio_rail/planter.mdl
7	-1340,49	939,422	-406,579	1	6	6000	7000	models/scenery/structural/gio_rail/endpiece.mdl
8	-1340,98	939,158	-362,377	17	6	2500	3500	models/scenery/structural/gio_rail/lantern.mdl
9	-144	1724	60,542	17	6	6000	7000	models/scenery/structural/gio_window/gio_window.mdl
10	-144	1724	-199,984	17	6	6000	7000	models/scenery/structural/gio_window/gio_window.mdl
11	368	1724	60,542	17	6	6000	7000	models/scenery/structural/gio_window/gio_window.mdl
12	368	1724	-199,984	17	6	6000	7000	models/scenery/structural/gio_window/gio_window.mdl
13	544	1900	60,542	17	6	6000	7000	models/scenery/structural/gio_window/gio_window.mdl
14	544	1900	-199,984	17	6	6000	7000	models/scenery/structural/gio_window/gio_window.mdl
15	544	2156	60,542	17	6	6000	7000	models/scenery/structural/gio_window/gio_window.mdl
16	544	2156	-199,984	17	6	6000	7000	models/scenery/structural/gio_window/gio_window.mdl
17	544	2412	60,542	17	6	6000	7000	models/scenery/structural/gio_window/gio_window.mdl
18	544	2412	-199,984	17	6	6000	7000	models/scenery/structural/gio_window/gio_window.mdl
19	544	2668	60,542	17	6	6000	7000	models/scenery/structural/gio_window/gio_window.mdl
20	544	2668	-199,984	17	6	6000	7000	models/scenery/structural/gio_window/gio_window.mdl
21	479,432	2951,51	60,542	17	6	6000	7000	models/scenery/structural/gio_window/gio_window.mdl
22	479,432	2951,51	-199,984	17	6	6000	7000	models/scenery/structural/gio_window/gio_window.mdl
23	198	3015	60,542	17	6	6000	7000	models/scenery/structural/gio_window/gio_window.mdl
24	198	3015	-199,984	17	6	6000	7000	models/scenery/structural/gio_window/gio_window.mdl
25	118	3223	60,542	17	6	6000	7000	models/scenery/structural/gio_window/gio_window.mdl
26	118	3223	-199,984	17	6	6000	7000	models/scenery/structural/gio_window/gio_window.mdl
27	118	3479	60,542	17	6	6000	7000	models/scenery/structural/gio_window/gio_window.mdl
28	118	3479	-199,984	17	6	6000	7000	models/scenery/structural/gio_window/gio_window.mdl
29	-211	3808	60,542	17	6	6000	7000	models/scenery/structural/gio_window/gio_window.mdl
30	-211	3808	-199,984	17	6	6000	7000	models/scenery/structural/gio_window/gio_window.mdl
31	-467	3808	60,542	17	6	6000	7000	models/scenery/structural/gio_window/gio_window.mdl
32	-717	3808	60,542	17	6	6000	7000	models/scenery/structural/gio_window/gio_window.mdl
33	-1040	1724	60,542	17	6	6000	7000	models/scenery/structural/gio_window/gio_window.mdl
34	-1040	1724	-199,984	17	6	6000	7000	models/scenery/structural/gio_window/gio_window.mdl
35	-1296	1724	60,542	17	6	6000	7000	models/scenery/structural/gio_window/gio_window.mdl
36	-1296	1724	-199,984	17	6	6000	7000	models/scenery/structural/gio_window/gio_window.mdl
37	-1552	1724	60,542	17	6	6000	7000	models/scenery/structural/gio_window/gio_window.mdl
38	-1552	1724	-199,984	17	6	6000	7000	models/scenery/structural/gio_window/gio_window.mdl
39	-1728	1900	60,542	17	6	6000	7000	models/scenery/structural/gio_window/gio_window.mdl
40	-1728	1900	-199,984	17	6	6000	7000	models/scenery/structural/gio_window/gio_window.mdl
41	-1728	2156	60,542	17	6	6000	7000	models/scenery/structural/gio_window/gio_window.mdl
42	-1728	2156	-199,984	17	6	6000	7000	models/scenery/structural/gio_window/gio_window.mdl
43	-1728	2412	60,542	17	6	6000	7000	models/scenery/structural/gio_window/gio_window.mdl
44	-1728	2412	-199,984	17	6	6000	7000	models/scenery/structural/gio_window/gio_window.mdl
45	-1728	2668	60,542	17	6	6000	7000	models/scenery/structural/gio_window/gio_window.mdl
46	-1728	2668	-199,984	17	6	6000	7000	models/scenery/structural/gio_window/gio_window.mdl
47	-1663,43	2951,51	60,542	17	6	6000	7000	models/scenery/structural/gio_window/gio_window.mdl
48	-1663,43	2951,51	-199,984	17	6	6000	7000	models/scenery/structural/gio_window/gio_window.mdl
49	-1382	3015	60,542	17	6	6000	7000	models/scenery/structural/gio_window/gio_window.mdl
50	-1382	3015	-199,984	17	6	6000	7000	models/scenery/structural/gio_window/gio_window.mdl
51	-1302	3223	60,542	17	6	6000	7000	models/scenery/structural/gio_window/gio_window.mdl
