ObjNum	OriginX	OriginY	OriginZ	Flags	Solid	FadeMinDist	FadeMaxDist	PropTypeEntry
0	-18,62	-324,405	125,405	0	6	0	0	models/scenery/furniture/lighta/lighta.mdl
1	-384,085	628,897	465	17	6	1500	2000	models/scenery/structural/chandelier/chandelier2.mdl
2	-384,085	628,897	207	17	6	1500	2000	models/scenery/structural/chandelier/chandelier2.mdl
3	-255,185	377,406	90,9007	16	0	0	0	models/scenery/misc/giosconce/giosconce.mdl
4	-503,185	377,406	90,9007	16	0	0	0	models/scenery/misc/giosconce/giosconce.mdl
5	38	108	240	16	0	0	0	models/scenery/misc/giosconce/giosconcec.mdl
6	-805,799	110,204	240	16	0	0	0	models/scenery/misc/giosconce/giosconcec.mdl
7	-749,38	-324,405	125,405	0	6	0	0	models/scenery/furniture/lighta/lighta.mdl
8	-900,405	-194,62	125,405	0	6	0	0	models/scenery/furniture/lighta/lighta.mdl
9	132,405	-210,62	125,405	0	6	0	0	models/scenery/furniture/lighta/lighta.mdl
10	375,62	12,405	125,405	0	6	0	0	models/scenery/furniture/lighta/lighta.mdl
11	430,201	-190,204	117,443	16	0	0	0	models/scenery/misc/giosconce/giosconcec.mdl
12	411,799	-641,796	117,443	16	0	0	0	models/scenery/misc/giosconce/giosconcec.mdl
13	-124,201	-639,795	117,443	16	0	0	0	models/scenery/misc/giosconce/giosconcec.mdl
14	-639,799	-645,205	117,443	16	0	0	0	models/scenery/misc/giosconce/giosconcec.mdl
15	-1178,8	-648,205	117,443	16	0	0	0	models/scenery/misc/giosconce/giosconcec.mdl
16	-1012,8	-271,205	117,443	16	0	0	0	models/scenery/misc/giosconce/giosconcec.mdl
17	-1012,8	-53,2045	117,443	16	0	0	0	models/scenery/misc/giosconce/giosconcec.mdl
18	-886,201	423,795	117,443	16	0	0	0	models/scenery/misc/giosconce/giosconcec.mdl
19	301,204	173,204	40,6743	16	6	0	0	models/scenery/misc/giosconce/giosconceb.mdl
20	-43,7992	291,796	240	16	0	0	0	models/scenery/misc/giosconce/giosconcec.mdl
21	-42,7992	472,204	240	16	0	0	0	models/scenery/misc/giosconce/giosconcec.mdl
22	-40,7992	639,204	240	16	0	0	0	models/scenery/misc/giosconce/giosconcec.mdl
23	-725,799	645,795	240	16	0	0	0	models/scenery/misc/giosconce/giosconcec.mdl
24	-717,799	468,795	240	16	0	0	0	models/scenery/misc/giosconce/giosconcec.mdl
25	-717,799	283,204	240	16	0	0	0	models/scenery/misc/giosconce/giosconcec.mdl
26	-812,399	543,6	125,405	0	6	0	0	models/scenery/furniture/lighta/lighta.mdl
27	-168	896	256	0	6	0	0	models/scenery/structural/giocolumn/giocolumn.mdl
28	-168	1024	256	0	6	0	0	models/scenery/structural/giocolumn/giocolumn.mdl
29	-167,325	1151,65	256	0	6	0	0	models/scenery/structural/giocolumn/giocolumn.mdl
30	-167,325	1279,65	256	0	6	0	0	models/scenery/structural/giocolumn/giocolumn.mdl
31	-168	1408	256	0	6	0	0	models/scenery/structural/giocolumn/giocolumn.mdl
32	-600	896	256	0	6	0	0	models/scenery/structural/giocolumn/giocolumn.mdl
33	-600	1024	256	0	6	0	0	models/scenery/structural/giocolumn/giocolumn.mdl
34	-600,675	1151,65	256	0	6	0	0	models/scenery/structural/giocolumn/giocolumn.mdl
35	-600,675	1279,65	256	0	6	0	0	models/scenery/structural/giocolumn/giocolumn.mdl
36	-600	1408	256	0	6	0	0	models/scenery/structural/giocolumn/giocolumn.mdl
37	-229,48	1052	-48	0	6	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
38	-229,48	866	-48	0	6	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
39	-292	801,48	-48	0	6	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
40	-478	801,48	-48	0	6	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
41	-542,52	860	-48	0	6	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
42	-542,52	1052	-48	0	6	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
43	-542,52	1238	-48	0	6	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
44	-478	1302,52	-48	0	6	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
45	-292	1302,52	-48	0	6	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
46	-229,48	1244	-48	0	6	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
47	-864,624	688,6	125,405	0	6	0	0	models/scenery/furniture/lighta/lighta.mdl
48	-892,355	1104,6	125,405	0	6	0	0	models/scenery/furniture/lighta/lighta.mdl
49	155,645	1099,23	68,0702	0	6	0	0	models/scenery/furniture/lighta/lighta.mdl
50	307,645	1172,77	-59,9298	0	6	0	0	models/scenery/furniture/lighta/lighta.mdl
51	231,376	1592,6	-2,595	0	6	0	0	models/scenery/furniture/lighta/lighta.mdl
52	232,624	679,4	-130,595	0	6	0	0	models/scenery/furniture/lighta/lighta.mdl
53	153,399	1514,4	-258,595	0	6	0	0	models/scenery/furniture/lighta/lighta.mdl
54	155,645	1099,23	-187,93	0	6	0	0	models/scenery/furniture/lighta/lighta.mdl
55	372,815	569,406	80,701	16	0	0	0	models/scenery/misc/giosconce/giosconce.mdl
56	464,204	330,204	40,6743	16	6	0	0	models/scenery/misc/giosconce/giosconceb.mdl
57	303,796	500,204	40,6743	16	6	0	0	models/scenery/misc/giosconce/giosconceb.mdl
58	142,204	335,796	40,6743	16	6	0	0	models/scenery/misc/giosconce/giosconceb.mdl
59	-228,204	40,2043	8,6743	16	6	0	0	models/scenery/misc/giosconce/giosconceb.mdl
60	-230,204	-126,204	8,6743	16	6	0	0	models/scenery/misc/giosconce/giosconceb.mdl
61	-540,204	-124,204	8,6743	16	6	0	0	models/scenery/misc/giosconce/giosconceb.mdl
62	-538,204	42,2043	8,6743	16	6	0	0	models/scenery/misc/giosconce/giosconceb.mdl
63	-470,204	-485,204	40,6743	16	6	0	0	models/scenery/misc/giosconce/giosconceb.mdl
64	-291,796	-484,204	40,6743	16	6	0	0	models/scenery/misc/giosconce/giosconceb.mdl
65	-296,204	-534,204	40,6743	16	6	0	0	models/scenery/misc/giosconce/giosconceb.mdl
66	-473,796	-535,204	40,6743	16	6	0	0	models/scenery/misc/giosconce/giosconceb.mdl
67	-1280,8	-477,204	40,6743	16	6	0	0	models/scenery/misc/giosconce/giosconceb.mdl
68	515,796	-403,204	40,6743	16	6	0	0	models/scenery/misc/giosconce/giosconceb.mdl
69	-655,204	1024,2	40,6743	16	6	0	0	models/scenery/misc/giosconce/giosconceb.mdl
70	-654,796	1279,2	40,6743	16	6	0	0	models/scenery/misc/giosconce/giosconceb.mdl
71	-109,796	1279,8	40,6743	16	6	0	0	models/scenery/misc/giosconce/giosconceb.mdl
72	-110,204	1025,2	40,6743	16	6	0	0	models/scenery/misc/giosconce/giosconceb.mdl
73	537,406	400,185	80,701	16	0	0	0	models/scenery/misc/giosconce/giosconce.mdl
74	-118,594	283,185	219,299	16	0	0	0	models/scenery/misc/giosconce/giosconce.mdl
75	-649,406	284,815	219,299	16	0	0	0	models/scenery/misc/giosconce/giosconce.mdl
76	-841,406	-146,185	219,299	16	0	0	0	models/scenery/misc/giosconce/giosconce.mdl
77	-707,204	-251,204	40,6743	16	6	0	0	models/scenery/misc/giosconce/giosconceb.mdl
78	-67,2043	-252,204	40,6743	16	6	0	0	models/scenery/misc/giosconce/giosconceb.mdl
79	73,406	-147,185	219,299	16	0	0	0	models/scenery/misc/giosconce/giosconce.mdl
80	-262,594	-638,815	118,299	16	0	0	0	models/scenery/misc/giosconce/giosconce.mdl
81	-505,406	-640,815	118,299	16	0	0	0	models/scenery/misc/giosconce/giosconce.mdl
82	-800,185	-497,406	90,299	16	0	0	0	models/scenery/misc/giosconce/giosconce.mdl
83	-799,185	-382,594	90,299	16	0	0	0	models/scenery/misc/giosconce/giosconce.mdl
84	-1013,81	-382,594	90,299	16	0	0	0	models/scenery/misc/giosconce/giosconce.mdl
85	-1014,19	-497,406	90,299	16	0	0	0	models/scenery/misc/giosconce/giosconce.mdl
86	-1177,22	-211	92,299	16	0	0	0	models/scenery/misc/giosconce/giosconce.mdl
87	-1094,59	-208,815	92,299	16	0	0	0	models/scenery/misc/giosconce/giosconce.mdl
88	-1094,59	10,1852	91,299	16	0	0	0	models/scenery/misc/giosconce/giosconce.mdl
89	-1177,41	9,1852	91,299	16	0	0	0	models/scenery/misc/giosconce/giosconce.mdl
90	-385,185	1497,41	219,299	16	0	0	0	models/scenery/misc/giosconce/giosconce.mdl
91	262,185	-382,594	90,299	16	0	0	0	models/scenery/misc/giosconce/giosconce.mdl
92	261,185	-497,406	90,299	16	0	0	0	models/scenery/misc/giosconce/giosconce.mdl
93	30,1852	-498,406	90,299	16	0	0	0	models/scenery/misc/giosconce/giosconce.mdl
94	30,1852	-382,594	90,299	16	0	0	0	models/scenery/misc/giosconce/giosconce.mdl
95	-645	-721	1,10149E-04	0	6	0	0	models/scenery/furniture/fancybed/fancybed.mdl
96	-588	-753	18	0	6	0	0	models/scenery/furniture/CoffeeTable1/chanttbl.mdl
97	-765	-740	1,10149E-04	0	6	0	0	models/scenery/furniture/Dresser1/Dresser1_Solid.mdl
98	-765	-693	1,10149E-04	0	6	0	0	models/scenery/furniture/Dresser1/Dresser1_Solid.mdl
99	-536	-570	1,10149E-04	0	6	0	0	models/scenery/furniture/armoire/armoire.mdl
100	-894	-529	20	0	6	0	0	models/scenery/furniture/3Leg_Table/3Leg_Table.mdl
101	-795	-663	0	0	6	0	0	models/scenery/furniture/sink2/sink2w.mdl
102	-893,853	-730,483	0	0	6	0	0	models/scenery/furniture/toilet2/toilet_hightank2.mdl
103	-884,853	-768,466	30	0	6	0	0	models/scenery/misc/toiletpaperholder/toiletpaperholder.mdl
104	-938,055	-730,017	0	0	6	0	0	models/scenery/furniture/toilet2/toilet_hightank2.mdl
105	-947,055	-768	30	0	6	0	0	models/scenery/misc/toiletpaperholder/toiletpaperholder.mdl
106	-1036,91	-662,534	0	0	6	0	0	models/scenery/furniture/sink2/sink2w.mdl
107	-937,907	-528,534	20	0	6	0	0	models/scenery/furniture/3Leg_Table/3Leg_Table.mdl
108	-1066,91	-739,534	1,10149E-04	0	6	0	0	models/scenery/furniture/Dresser1/Dresser1_Solid.mdl
109	-1066,91	-692,534	1,10149E-04	0	6	0	0	models/scenery/furniture/Dresser1/Dresser1_Solid.mdl
110	-1186,91	-720,534	1,10149E-04	0	6	0	0	models/scenery/furniture/fancybed/fancybed.mdl
111	-1243,91	-752,534	18	0	6	0	0	models/scenery/furniture/CoffeeTable1/chanttbl.mdl
