ObjNum	OriginX	OriginY	OriginZ	Flags	Solid	FadeMinDist	FadeMaxDist	PropTypeEntry
0	-78,6699	22,993	35,138	17	6	1000	1500	models/scenery/trash/barrels/barrelf.mdl
1	17,8	390,532	129,033	1	0	1000	1500	models/scenery/street/pierlight/pierlight.mdl
2	470,18	389,532	129,033	1	6	1000	1500	models/scenery/street/pierlight/pierlight.mdl
3	-927,2	394,532	129,033	1	6	1000	1500	models/scenery/street/pierlight/pierlight.mdl
4	-189	-76	59	1	6	1000	1500	models/scenery/structural/sewer/support.mdl
5	-189,47	-76	226	1	6	1000	1500	models/scenery/street/pierlight/pierlight.mdl
6	-189,47	-76,63	226	1	6	1000	1500	models/scenery/street/pierlight/pierlight.mdl
7	-302,33	1632	164,08	1	6	1000	1500	models/scenery/structural/shoplight/shoplightbulb.mdl
8	-302,33	1631	164,08	1	6	1000	1500	models/scenery/structural/shoplight/shoplight.mdl
9	-1375,99	-1952,13	93,9124	0	0	0	0	models/scenery/structural/water_tower/WaterTower.mdl
10	-1610,68	645,446	82	1	6	1000	1500	models/scenery/street/barbedwire/barbedwiresupport.mdl
11	-1615,33	564,826	130,309	1	0	700	1200	models/scenery/structural/warehouse/fencepole.mdl
12	-1615,68	876,446	130,309	1	0	700	1200	models/scenery/structural/warehouse/fencepole2.mdl
13	-1615,68	876,446	8	1	0	700	1200	models/scenery/structural/warehouse/fencepole2.mdl
14	-1615,33	564,826	8	1	0	700	1200	models/scenery/structural/warehouse/fencepole.mdl
15	-227,001	1331,42	59	1	6	1000	1500	models/scenery/structural/sewer/support.mdl
16	-226,531	1331,42	226	1	6	1000	1500	models/scenery/street/pierlight/pierlight.mdl
17	-226,531	1332,05	226	1	6	1000	1500	models/scenery/street/pierlight/pierlight.mdl
18	-337,331	1232,42	35,138	17	6	1000	1500	models/scenery/trash/barrels/barrelf.mdl
19	2455,29	-500,389	97,4178	17	6	2250	2500	models/scenery/street/pierlightb/pierlightb.mdl
20	2590,56	-54,592	33,1382	16	6	0	0	models/scenery/trash/barrels/barrelf.mdl
21	2528	-296	9,598	1	6	2250	2500	models/scenery/trash/yellowdumpster/yellowdumpster.mdl
22	2581,06	-423,233	8	1	6	800	1200	models/scenery/street/TrashBags/TrashBag_1.mdl
23	2601,06	-439,233	17	1	6	800	1200	models/scenery/street/TrashCan1/TrashCan1_Lid.mdl
24	2596,06	-395,233	8	1	6	800	1200	models/scenery/street/TrashCan1/TrashCan1_Base.mdl
25	2612	-424,813	8	1	6	800	1200	models/scenery/street/TrashCan1/TrashCan1_Base.mdl
26	2608,06	-368,233	8	1	6	800	1200	models/scenery/street/TrashBags/TrashBag_4.mdl
27	2511,41	-391,589	8	1	6	800	1200	models/scenery/street/TrashCan1/TrashCan1_Base.mdl
28	2512	-392	41	1	6	800	1200	models/scenery/street/TrashCan1/TrashCan1_Lid.mdl
29	2608	-144	8	1	6	800	1200	models/scenery/street/TrashBags/TrashBag_4.mdl
30	2560,19	175,241	147,648	17	6	1024	1536	models/scenery/furniture/lightc/lightc.mdl
