ObjNum	OriginX	OriginY	OriginZ	Flags	Solid	FadeMinDist	FadeMaxDist	PropTypeEntry
0	955,849	224	266,225	16	0	0	0	models/scenery/misc/cage_light/cage_wall.mdl
1	1362,57	16,72	289	17	6	6000	7000	models/scenery/furniture/lightd/lightd.mdl
2	1255,63	19,49	345	16	6	0	0	models/scenery/furniture/lighte/lighte.mdl
3	988,178	16	435,996	16	0	0	0	models/scenery/misc/cage_light/cage_wall.mdl
4	812,178	16	435,996	16	0	0	0	models/scenery/misc/cage_light/cage_wall.mdl
5	642,178	16	435,996	16	0	0	0	models/scenery/misc/cage_light/cage_wall.mdl
6	701,625	-141,51	345	16	6	0	0	models/scenery/furniture/lighte/lighte.mdl
7	986,375	-141,51	345	16	6	0	0	models/scenery/furniture/lighte/lighte.mdl
8	1256,63	-141,51	345	16	6	0	0	models/scenery/furniture/lighte/lighte.mdl
9	658,064	39,93	174,318	0	6	0	0	models/scenery/structural/sewer/support_link.mdl
10	626,064	39,93	174,318	0	6	0	0	models/scenery/structural/sewer/support_link.mdl
11	625,924	39,95	244,101	2	6	0	0	models/scenery/structural/sewer/supportb.mdl
12	657,924	39,95	244,101	2	6	0	0	models/scenery/structural/sewer/supportb.mdl
13	657,924	-8,05	244,101	2	6	0	0	models/scenery/structural/sewer/supportb.mdl
14	658,064	-8,0699	174,318	0	6	0	0	models/scenery/structural/sewer/support_link.mdl
15	625,926	39,93	372	2	6	0	0	models/scenery/structural/sewer/supportb.mdl
16	625,926	-8,0699	372	2	6	0	0	models/scenery/structural/sewer/supportb.mdl
17	625,924	-8,05	244,101	2	6	0	0	models/scenery/structural/sewer/supportb.mdl
18	626,064	-8,0699	174,318	0	6	0	0	models/scenery/structural/sewer/support_link.mdl
19	657,926	-8,05	372	2	6	0	0	models/scenery/structural/sewer/supportb.mdl
20	657,926	39,95	372	2	6	0	0	models/scenery/structural/sewer/supportb.mdl
21	914	-38,0699	356	0	6	0	0	models/scenery/structural/sewer/supportb.mdl
22	892	-52	360	16	6	0	0	models/scenery/structural/observatory/lift_wheels.mdl
23	786	-38	356	0	6	0	0	models/scenery/structural/sewer/supportb.mdl
24	646	-52	360	16	6	0	0	models/scenery/structural/observatory/lift_wheels.mdl
25	658	-38	356	0	6	0	0	models/scenery/structural/sewer/supportb.mdl
26	827,983	39,8101	174,318	0	6	0	0	models/scenery/structural/sewer/support_link.mdl
27	795,983	39,8101	174,318	0	6	0	0	models/scenery/structural/sewer/support_link.mdl
28	795,843	39,83	244,101	2	6	0	0	models/scenery/structural/sewer/supportb.mdl
29	827,843	39,83	244,101	2	6	0	0	models/scenery/structural/sewer/supportb.mdl
30	827,843	-8,17	244,101	2	6	0	0	models/scenery/structural/sewer/supportb.mdl
31	827,983	-8,1899	174,318	0	6	0	0	models/scenery/structural/sewer/support_link.mdl
32	795,845	39,8	372	2	6	0	0	models/scenery/structural/sewer/supportb.mdl
33	795,845	-8,2	372	2	6	0	0	models/scenery/structural/sewer/supportb.mdl
34	795,843	-8,17	244,101	2	6	0	0	models/scenery/structural/sewer/supportb.mdl
35	795,983	-8,1899	174,318	0	6	0	0	models/scenery/structural/sewer/support_link.mdl
36	827,845	-8,17	372	2	6	0	0	models/scenery/structural/sewer/supportb.mdl
37	827,845	39,83	372	2	6	0	0	models/scenery/structural/sewer/supportb.mdl
38	1003,98	39,93	174,318	0	6	0	0	models/scenery/structural/sewer/support_link.mdl
39	971,983	39,93	174,318	0	6	0	0	models/scenery/structural/sewer/support_link.mdl
40	971,843	39,95	244,101	2	6	0	0	models/scenery/structural/sewer/supportb.mdl
41	1003,84	39,95	244,101	2	6	0	0	models/scenery/structural/sewer/supportb.mdl
42	1003,84	-8,05	244,101	2	6	0	0	models/scenery/structural/sewer/supportb.mdl
43	1003,98	-8,0699	174,318	0	6	0	0	models/scenery/structural/sewer/support_link.mdl
44	971,845	39,93	372	2	6	0	0	models/scenery/structural/sewer/supportb.mdl
45	971,845	-8,0699	372	2	6	0	0	models/scenery/structural/sewer/supportb.mdl
46	971,843	-8,05	244,101	2	6	0	0	models/scenery/structural/sewer/supportb.mdl
47	971,983	-8,0699	174,318	0	6	0	0	models/scenery/structural/sewer/support_link.mdl
48	1003,84	-8,05	372	2	6	0	0	models/scenery/structural/sewer/supportb.mdl
49	1003,84	39,95	372	2	6	0	0	models/scenery/structural/sewer/supportb.mdl
50	913,516	71,34	356	0	6	0	0	models/scenery/structural/sewer/supportb.mdl
51	891,516	85,26	360	16	6	0	0	models/scenery/structural/observatory/lift_wheels.mdl
52	785,516	71,26	356	0	6	0	0	models/scenery/structural/sewer/supportb.mdl
53	645,516	85,26	360	16	6	0	0	models/scenery/structural/observatory/lift_wheels.mdl
54	657,516	71,26	356	0	6	0	0	models/scenery/structural/sewer/supportb.mdl
55	-942,18	16	798,004	16	0	0	0	models/scenery/misc/cage_light/cage_wall.mdl
56	-940	16	272	16	0	0	0	models/scenery/structural/observatory/lift_pole.mdl
57	-2671,18	16	1358	16	0	0	0	models/scenery/misc/cage_light/cage_wall.mdl
58	-2668	16	832	16	0	0	0	models/scenery/structural/observatory/lift_pole.mdl
59	-4635,82	16	2224	16	0	0	0	models/scenery/misc/cage_light/cage_wall.mdl
60	-4632,65	16	1698	16	0	0	0	models/scenery/structural/observatory/lift_pole.mdl
61	887,787	-353,238	258,648	16	0	0	0	models/scenery/furniture/lightc/lightc.mdl
62	809,084	-100,938	178,84	17	0	2250	2500	models/scenery/structural/ceilinglight/ceilinglight.mdl
63	893,084	-100,938	178,84	17	0	2250	2500	models/scenery/structural/ceilinglight/ceilinglight.mdl
64	775,37	-549,666	248,933	0	6	0	0	models/scenery/street/pierlight/pierlight.mdl
65	1031,37	-549,666	248,933	0	6	0	0	models/scenery/street/pierlight/pierlight.mdl
66	1032,63	-1167,47	248,933	0	6	0	0	models/scenery/street/pierlight/pierlight.mdl
67	776,63	-1167,47	248,933	0	6	0	0	models/scenery/street/pierlight/pierlight.mdl
68	1544,63	-1167,47	247,933	0	6	0	0	models/scenery/street/pierlight/pierlight.mdl
69	1288,63	-1167,47	247,933	0	6	0	0	models/scenery/street/pierlight/pierlight.mdl
70	1433,67	-198,63	256,933	0	6	0	0	models/scenery/street/pierlight/pierlight.mdl
71	1433,53	227,37	256,933	0	6	0	0	models/scenery/street/pierlight/pierlight.mdl
72	1139,18	240,004	305	16	0	0	0	models/scenery/misc/cage_light/cage_wall.mdl
73	1073,82	-208	261	16	0	0	0	models/scenery/misc/cage_light/cage_wall.mdl
74	2504,63	-940,334	239,933	0	6	0	0	models/scenery/street/pierlight/pierlight.mdl
75	3080,63	-900,334	237,033	0	6	0	0	models/scenery/street/pierlight/pierlight.mdl
76	3107,67	-66,6299	237,033	0	6	0	0	models/scenery/street/pierlight/pierlight.mdl
77	3107,67	-1410,63	237,033	0	6	0	0	models/scenery/street/pierlight/pierlight.mdl
78	971	219	136	0	6	0	0	models/scenery/structural/Sewer_Computers/BigBlue.mdl
79	1100	16	384	16	6	0	0	models/scenery/structural/observatory/lift_wheel.mdl
80	605	-114,31	183,986	0	0	0	0	models/scenery/structural/sewer/railing_post.mdl
81	626,359	-114,38	188,986	0	0	0	0	models/scenery/structural/sewer/railing.mdl
82	646,359	-114,31	183,986	0	0	0	0	models/scenery/structural/sewer/railing_post.mdl
83	667	-114,38	188,986	0	0	0	0	models/scenery/structural/sewer/railing.mdl
84	686	-114,31	183,986	0	0	0	0	models/scenery/structural/sewer/railing_post.mdl
85	708,717	-114,38	188,986	0	0	0	0	models/scenery/structural/sewer/railing.mdl
86	729,717	-114,31	183,986	0	0	0	0	models/scenery/structural/sewer/railing_post.mdl
87	749,359	-114,38	188,986	0	0	0	0	models/scenery/structural/sewer/railing.mdl
88	770,359	-114,31	183,986	0	0	0	0	models/scenery/structural/sewer/railing_post.mdl
89	934,5	-113,69	183,986	0	0	0	0	models/scenery/structural/sewer/railing_post.mdl
90	955,5	-113,62	188,986	0	0	0	0	models/scenery/structural/sewer/railing.mdl
91	975,141	-113,69	183,986	0	0	0	0	models/scenery/structural/sewer/railing_post.mdl
92	996,141	-113,62	188,986	0	0	0	0	models/scenery/structural/sewer/railing.mdl
93	1018,86	-113,69	183,986	0	0	0	0	models/scenery/structural/sewer/railing_post.mdl
94	1037,86	-113,62	188,986	0	0	0	0	models/scenery/structural/sewer/railing.mdl
95	1058,5	-113,69	183,986	0	0	0	0	models/scenery/structural/sewer/railing_post.mdl
96	1078,5	-113,62	188,986	0	0	0	0	models/scenery/structural/sewer/railing.mdl
97	1099,86	-113,69	183,986	0	0	0	0	models/scenery/structural/sewer/railing_post.mdl
98	1119,86	-113,62	188,986	0	0	0	0	models/scenery/structural/sewer/railing.mdl
99	1140,5	-113,69	183,986	0	0	0	0	models/scenery/structural/sewer/railing_post.mdl
100	1160,5	-113,62	188,986	0	0	0	0	models/scenery/structural/sewer/railing.mdl
101	1181,14	-113,69	183,986	0	0	0	0	models/scenery/structural/sewer/railing_post.mdl
102	1202	-113,63	188,986	0	0	0	0	models/scenery/structural/sewer/railing.mdl
103	1222,69	-114	183,986	0	0	0	0	models/scenery/structural/sewer/railing_post.mdl
104	1222,62	-93	188,986	0	0	0	0	models/scenery/structural/sewer/railing.mdl
105	1222,69	-73,36	183,986	0	0	0	0	models/scenery/structural/sewer/railing_post.mdl
106	1222,62	-52,36	188,986	0	0	0	0	models/scenery/structural/sewer/railing.mdl
107	1222,69	-29,64	183,986	0	0	0	0	models/scenery/structural/sewer/railing_post.mdl
108	1222,62	-10,64	188,986	0	0	0	0	models/scenery/structural/sewer/railing.mdl
109	1222,69	10	183,986	0	0	0	0	models/scenery/structural/sewer/railing_post.mdl
110	1222,62	30	188,986	0	0	0	0	models/scenery/structural/sewer/railing.mdl
111	1222,69	51,36	183,986	0	0	0	0	models/scenery/structural/sewer/railing_post.mdl
112	1222,62	71,36	188,986	0	0	0	0	models/scenery/structural/sewer/railing.mdl
113	1222,69	92	183,986	0	0	0	0	models/scenery/structural/sewer/railing_post.mdl
114	1222,62	112	188,986	0	0	0	0	models/scenery/structural/sewer/railing.mdl
115	1222,69	-100,64	183,986	0	0	0	0	models/scenery/structural/sewer/railing_post.mdl
116	1222,63	153,5	188,986	0	0	0	0	models/scenery/structural/sewer/railing.mdl
117	1096	-551	128	1	6	1024	1536	models/scenery/street/parking_curb/curba.mdl
118	1316	-372	127,753	1	6	1024	1536	models/scenery/structural/Toll_Gate_Stuff/post.mdl
119	968	-551	128	1	6	1024	1536	models/scenery/street/parking_curb/curba.mdl
120	712,666	-549,993	128	1	6	1024	1536	models/scenery/street/parking_curb/curba.mdl
121	840,666	-549,993	128	1	6	1024	1536	models/scenery/street/parking_curb/curba.mdl
122	1095,67	-1172,01	128	1	6	1024	1536	models/scenery/street/parking_curb/curba.mdl
123	975,667	-1172,01	128	1	6	1024	1536	models/scenery/street/parking_curb/curba.mdl
124	840,334	-1171,01	128	1	6	1024	1536	models/scenery/street/parking_curb/curba.mdl
125	712,334	-1171,01	128	1	6	1024	1536	models/scenery/street/parking_curb/curba.mdl
126	1479,66	-1172,99	128	1	6	1024	1536	models/scenery/street/parking_curb/curba.mdl
127	1359,66	-1172,99	128	1	6	1024	1536	models/scenery/street/parking_curb/curba.mdl
128	1224,33	-1171,99	128	1	6	1024	1536	models/scenery/street/parking_curb/curba.mdl
129	1316	-292	127,753	1	6	1024	1536	models/scenery/structural/Toll_Gate_Stuff/post.mdl
130	1235	-372	127,753	1	6	1024	1536	models/scenery/structural/Toll_Gate_Stuff/post.mdl
131	1273	-325	142	1	6	1024	1536	models/scenery/street/hydrant/hydranta.mdl
132	1092,29	-484	332	16	6	0	0	models/scenery/plants/tree/tree_mid.mdl
133	708	-447	332	16	6	0	0	models/scenery/plants/tree/tree_mid.mdl
134	888	-336	216	17	6	1024	1080	models/scenery/structural/warehouse/wina.mdl
135	845	-636	128	16	6	0	0	models/scenery/vehicles/LightningBird/LightningBird_Green.mdl
136	712	-1024	128	16	6	0	0	models/scenery/vehicles/VW_bus/Vw_bus.mdl
137	1342	-130	136	16	6	0	0	models/scenery/furniture/bench/concretebench.mdl
138	1342	162	136	16	6	0	0	models/scenery/furniture/bench/concretebench.mdl
139	636	-280	136	0	6	0	0	models/scenery/furniture/bench/bencha.mdl
140	1102	-232	136	0	6	0	0	models/scenery/furniture/bench/bencha.mdl
141	888	-328	216	17	6	1024	1080	models/scenery/structural/warehouse/wina.mdl
142	974,938	362,046	128,112	1	6	1024	1500	models/scenery/street/TrashBags/TrashBag_4.mdl
143	1009,94	393,046	128,112	1	6	1024	1500	models/scenery/street/TrashCan1/TrashCan1_Lid.mdl
144	986,938	389,046	128,112	1	6	1024	1500	models/scenery/street/TrashCan1/TrashCan1_Base.mdl
145	971	418,626	128,112	1	6	1024	1500	models/scenery/street/TrashCan1/TrashCan1_Base.mdl
146	1001,94	417,046	128,112	1	6	1024	1500	models/scenery/street/TrashBags/TrashBag_1.mdl
147	1039	269	129,607	1	6	1024	1500	models/scenery/trash/yellowdumpster/yellowdumpster.mdl
148	1263,19	-208,256	241	16	6	0	0	models/scenery/signs/nopark.mdl
149	2162	-432	326	16	6	0	0	models/scenery/plants/pine/pine_group.mdl
150	2914	-1160	326	16	6	0	0	models/scenery/plants/pine/pine_group.mdl
151	2044	-1140	332	16	6	0	0	models/scenery/plants/pine/pine_group.mdl
152	2330	86	458	16	6	0	0	models/scenery/plants/pine/pine_group.mdl
153	2082	564	408	16	6	0	0	models/scenery/plants/pine/pine_group.mdl
154	1402	928	325	16	6	0	0	models/scenery/plants/pine/pine_group.mdl
155	542	642	325	16	6	0	0	models/scenery/plants/pine/pine_group.mdl
156	2056	-1718	454	16	6	0	0	models/scenery/plants/pine/pine_group.mdl
157	1232	-1468	454	16	6	0	0	models/scenery/plants/pine/pine_group.mdl
158	230	-1362	365	16	6	0	0	models/scenery/plants/pine/pine_group.mdl
159	326	-694	365	16	6	0	0	models/scenery/plants/pine/pine_group.mdl
160	2784	-360	326	16	6	0	0	models/scenery/plants/pine/pine_group.mdl
161	3812	-332	444	16	6	0	0	models/scenery/plants/pine/pine_group.mdl
162	4302	-1022	590	16	6	0	0	models/scenery/plants/pine/pine_group.mdl
163	4160	530	590	16	6	0	0	models/scenery/plants/pine/pine_group.mdl
164	3504	-790	318	16	6	0	0	models/scenery/plants/pine/pine_group.mdl
165	2964	-1498	326	16	6	0	0	models/scenery/plants/pine/pine_group.mdl
166	4444	-570	606	16	6	0	0	models/scenery/plants/pine/pine_group.mdl
167	685	-220	-3902,64	16	6	0	0	models/scenery/structural/observatory/trees2.mdl
168	1223	176	183,986	0	0	0	0	models/scenery/structural/sewer/railing_post.mdl
169	1223	198	188,986	0	0	0	0	models/scenery/structural/sewer/railing.mdl
170	1223	220	183,986	0	0	0	0	models/scenery/structural/sewer/railing_post.mdl
171	1322,01	166,739	242,779	16	6	0	0	models/scenery/misc/clock/hand.mdl
172	1316,41	166,956	242,708	16	6	0	0	models/scenery/misc/clock/clock.mdl
173	0	0	0	0	0	0	0	models/scenery/misc/cage_light/cage_wall.mdl
