ObjNum	OriginX	OriginY	OriginZ	Flags	Solid	FadeMinDist	FadeMaxDist	PropTypeEntry
0	-54,3026	-216,23	88,8771	0	0	0	0	models/scenery/structural/sconce/sconceb.mdl
1	37,6864	-216,207	88,8771	0	0	0	0	models/scenery/structural/sconce/sconceb.mdl
2	-205,833	-667,207	267	0	0	0	0	models/scenery/structural/sconce/sconceb.mdl
3	-94	378	42,7511	1	3	2250	2500	models/scenery/furniture/ascandle/ascandle.mdl
4	-91	384	42,7511	1	3	2250	2500	models/scenery/furniture/ascandle/ascandle.mdl
5	-95	398	42,7511	1	3	2250	2500	models/scenery/furniture/ascandle/ascandle.mdl
6	-94	406	42,7511	1	3	2250	2500	models/scenery/furniture/ascandle/ascandle.mdl
7	-95	414	42,7511	1	3	2250	2500	models/scenery/furniture/ascandle/ascandle.mdl
8	-92	429	42,7511	1	3	2250	2500	models/scenery/furniture/ascandle/ascandle.mdl
9	-92	435	42,7511	1	3	2250	2500	models/scenery/furniture/ascandle/ascandle.mdl
10	-102	398	46,9852	1	3	2250	2500	models/scenery/furniture/ascandle/ascandle.mdl
11	-102	392	46,9852	1	3	2250	2500	models/scenery/furniture/ascandle/ascandle.mdl
12	-102	387	46,9852	1	3	2250	2500	models/scenery/furniture/ascandle/ascandle.mdl
13	-102	379	46,9852	1	3	2250	2500	models/scenery/furniture/ascandle/ascandle.mdl
14	-101	404	46,9852	1	3	2250	2500	models/scenery/furniture/ascandle/ascandle.mdl
15	-101	412	46,9852	1	3	2250	2500	models/scenery/furniture/ascandle/ascandle.mdl
16	-102	421	46,9852	1	3	2250	2500	models/scenery/furniture/ascandle/ascandle.mdl
17	-102	426	46,9852	1	3	2250	2500	models/scenery/furniture/ascandle/ascandle.mdl
18	-102	431	46,9852	1	3	2250	2500	models/scenery/furniture/ascandle/ascandle.mdl
19	-100	438	46,9852	1	3	2250	2500	models/scenery/furniture/ascandle/ascandle.mdl
20	-111	390	50,9852	1	3	2250	2500	models/scenery/furniture/ascandle/ascandle.mdl
21	-108	385	50,9852	1	3	2250	2500	models/scenery/furniture/ascandle/ascandle.mdl
22	-110	404	50,9852	1	3	2250	2500	models/scenery/furniture/ascandle/ascandle.mdl
23	-109	410	50,9852	1	3	2250	2500	models/scenery/furniture/ascandle/ascandle.mdl
24	-110	417	50,9852	1	3	2250	2500	models/scenery/furniture/ascandle/ascandle.mdl
25	-109	430	50,9852	1	3	2250	2500	models/scenery/furniture/ascandle/ascandle.mdl
26	-109	425	50,9852	1	3	2250	2500	models/scenery/furniture/ascandle/ascandle.mdl
27	-109	436	50,9852	1	3	2250	2500	models/scenery/furniture/ascandle/ascandle.mdl
28	-101	407,046	31,5636	16	0	0	0	models/scenery/structural/society/votive.mdl
29	-29,0926	467	42,7511	1	3	2250	2500	models/scenery/furniture/ascandle/ascandle.mdl
30	-23,0926	464	42,7511	1	3	2250	2500	models/scenery/furniture/ascandle/ascandle.mdl
31	-9,09259	468	42,7511	1	3	2250	2500	models/scenery/furniture/ascandle/ascandle.mdl
32	-1,09259	467	42,7511	1	3	2250	2500	models/scenery/furniture/ascandle/ascandle.mdl
33	6,90741	468	42,7511	1	3	2250	2500	models/scenery/furniture/ascandle/ascandle.mdl
34	21,9074	465	42,7511	1	3	2250	2500	models/scenery/furniture/ascandle/ascandle.mdl
35	27,9074	465	42,7511	1	3	2250	2500	models/scenery/furniture/ascandle/ascandle.mdl
36	-9,09259	475	46,9852	1	3	2250	2500	models/scenery/furniture/ascandle/ascandle.mdl
37	-15,0926	475	46,9852	1	3	2250	2500	models/scenery/furniture/ascandle/ascandle.mdl
38	-20,0926	475	46,9852	1	3	2250	2500	models/scenery/furniture/ascandle/ascandle.mdl
39	-28,0926	475	46,9852	1	3	2250	2500	models/scenery/furniture/ascandle/ascandle.mdl
40	-3,09259	474	46,9852	1	3	2250	2500	models/scenery/furniture/ascandle/ascandle.mdl
41	4,90741	474	46,9852	1	3	2250	2500	models/scenery/furniture/ascandle/ascandle.mdl
42	13,9074	475	46,9852	1	3	2250	2500	models/scenery/furniture/ascandle/ascandle.mdl
43	18,9074	475	46,9852	1	3	2250	2500	models/scenery/furniture/ascandle/ascandle.mdl
44	23,9074	475	46,9852	1	3	2250	2500	models/scenery/furniture/ascandle/ascandle.mdl
45	30,9074	473	46,9852	1	3	2250	2500	models/scenery/furniture/ascandle/ascandle.mdl
46	-17,0926	484	50,9852	1	3	2250	2500	models/scenery/furniture/ascandle/ascandle.mdl
47	-22,0926	481	50,9852	1	3	2250	2500	models/scenery/furniture/ascandle/ascandle.mdl
48	-3,09259	483	50,9852	1	3	2250	2500	models/scenery/furniture/ascandle/ascandle.mdl
49	2,90741	482	50,9852	1	3	2250	2500	models/scenery/furniture/ascandle/ascandle.mdl
50	9,90741	483	50,9852	1	3	2250	2500	models/scenery/furniture/ascandle/ascandle.mdl
51	22,9074	482	50,9852	1	3	2250	2500	models/scenery/furniture/ascandle/ascandle.mdl
52	17,9074	482	50,9852	1	3	2250	2500	models/scenery/furniture/ascandle/ascandle.mdl
53	28,9074	482	50,9852	1	3	2250	2500	models/scenery/furniture/ascandle/ascandle.mdl
54	-0,046299	474	31,5636	16	0	0	0	models/scenery/structural/society/votive.mdl
55	93,4537	436	42,7511	1	3	2250	2500	models/scenery/furniture/ascandle/ascandle.mdl
56	90,4537	430	42,7511	1	3	2250	2500	models/scenery/furniture/ascandle/ascandle.mdl
57	94,4537	416	42,7511	1	3	2250	2500	models/scenery/furniture/ascandle/ascandle.mdl
58	93,4537	408	42,7511	1	3	2250	2500	models/scenery/furniture/ascandle/ascandle.mdl
59	94,4537	400	42,7511	1	3	2250	2500	models/scenery/furniture/ascandle/ascandle.mdl
60	91,4537	385	42,7511	1	3	2250	2500	models/scenery/furniture/ascandle/ascandle.mdl
61	91,4537	379	42,7511	1	3	2250	2500	models/scenery/furniture/ascandle/ascandle.mdl
62	101,454	416	46,9852	1	3	2250	2500	models/scenery/furniture/ascandle/ascandle.mdl
63	101,454	422	46,9852	1	3	2250	2500	models/scenery/furniture/ascandle/ascandle.mdl
64	101,454	427	46,9852	1	3	2250	2500	models/scenery/furniture/ascandle/ascandle.mdl
65	101,454	435	46,9852	1	3	2250	2500	models/scenery/furniture/ascandle/ascandle.mdl
66	100,454	410	46,9852	1	3	2250	2500	models/scenery/furniture/ascandle/ascandle.mdl
67	100,454	402	46,9852	1	3	2250	2500	models/scenery/furniture/ascandle/ascandle.mdl
68	101,454	393	46,9852	1	3	2250	2500	models/scenery/furniture/ascandle/ascandle.mdl
69	101,454	388	46,9852	1	3	2250	2500	models/scenery/furniture/ascandle/ascandle.mdl
70	101,454	383	46,9852	1	3	2250	2500	models/scenery/furniture/ascandle/ascandle.mdl
71	99,4537	376	46,9852	1	3	2250	2500	models/scenery/furniture/ascandle/ascandle.mdl
72	110,454	424	50,9852	1	3	2250	2500	models/scenery/furniture/ascandle/ascandle.mdl
73	107,454	429	50,9852	1	3	2250	2500	models/scenery/furniture/ascandle/ascandle.mdl
74	109,454	410	50,9852	1	3	2250	2500	models/scenery/furniture/ascandle/ascandle.mdl
75	108,454	404	50,9852	1	3	2250	2500	models/scenery/furniture/ascandle/ascandle.mdl
76	109,454	397	50,9852	1	3	2250	2500	models/scenery/furniture/ascandle/ascandle.mdl
77	108,454	384	50,9852	1	3	2250	2500	models/scenery/furniture/ascandle/ascandle.mdl
78	108,454	389	50,9852	1	3	2250	2500	models/scenery/furniture/ascandle/ascandle.mdl
79	108,454	378	50,9852	1	3	2250	2500	models/scenery/furniture/ascandle/ascandle.mdl
80	100,454	406,954	31,5636	16	0	0	0	models/scenery/structural/society/votive.mdl
81	380,758	-562,967	-56,8734	16	6	0	0	models/scenery/misc/Lantern/Lantern_Hang.mdl
82	380,425	-559,009	-59,3643	0	6	0	0	models/scenery/misc/spike/spike.mdl
83	42,6324	-739,935	-56,6313	16	6	0	0	models/scenery/misc/Lantern/Lantern_Hang.mdl
84	43,0003	-743,936	-59,1222	0	6	0	0	models/scenery/misc/spike/spike.mdl
85	-0,986885	208,153	195,777	16	6	0	0	models/scenery/furniture/chandelier/chandelierb.mdl
86	44,3679	-488,263	-56,6313	16	6	0	0	models/scenery/misc/Lantern/Lantern_Hang.mdl
87	44	-484,262	-59,1222	0	6	0	0	models/scenery/misc/spike/spike.mdl
88	-85,4308	-21,2067	81,8771	0	0	0	0	models/scenery/structural/sconce/sconceb.mdl
89	69,4615	-20,7933	81,8771	0	0	0	0	models/scenery/structural/sconce/sconceb.mdl
90	-292	-108,24	-257,216	16	0	0	0	models/scenery/misc/spike/spike.mdl
91	-332,17	113,21	-316,216	16	0	0	0	models/scenery/misc/spike/spike.mdl
92	-486,52	-91,7598	-442,216	16	0	0	0	models/scenery/misc/spike/spike.mdl
93	-496,52	-379,76	-444,216	16	0	0	0	models/scenery/misc/spike/spike.mdl
94	-221,72	90,0498	-257,216	16	0	0	0	models/scenery/misc/spike/spike.mdl
95	188,559	-231,302	-56,6313	16	6	0	0	models/scenery/misc/Lantern/Lantern_Hang.mdl
96	188,051	-227,316	-59,1222	0	6	0	0	models/scenery/misc/spike/spike.mdl
97	-85,4308	-416,207	81,8771	0	0	0	0	models/scenery/structural/sconce/sconceb.mdl
98	69,4615	-415,793	81,8771	0	0	0	0	models/scenery/structural/sconce/sconceb.mdl
