ObjNum	OriginX	OriginY	OriginZ	Flags	Solid	FadeMinDist	FadeMaxDist	PropTypeEntry
0	-1150,74	-374,679	-2119,8	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
1	-1149,74	-374,679	-2119,8	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
2	-1150,74	-374,339	-2119,88	1	6	1536	2048	models/scenery/structural/shoplight/shoplight.mdl
3	-1020,74	-363,679	-2119,8	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
4	-1019,74	-363,679	-2119,8	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
5	-1020,74	-363,339	-2119,88	1	6	1536	2048	models/scenery/structural/shoplight/shoplight.mdl
6	78	95	-2091	0	6	0	0	models/scenery/plants/pottedplanthotel/pottedplanthotel.mdl
7	73	-290	-2091	0	6	0	0	models/scenery/plants/pottedplanthotel/pottedplanthotel.mdl
8	-16,766	-182,889	-2045,41	16	6	0	0	models/scenery/furniture/LampFloor/LampFloor.mdl
9	-61	-97	-1899	16	6	0	0	models/scenery/structural/conflight/conflight.mdl
10	-201	60	-2092	0	6	0	0	models/scenery/furniture/armoire/armoire.mdl
11	-201	-250	-2092	0	6	0	0	models/scenery/furniture/armoire/armoire.mdl
12	87,275	-32,113	-2092	0	6	0	0	models/scenery/furniture/endtable/endtable.mdl
13	87,275	-32,113	-2032	0	6	0	0	models/scenery/furniture/vase/vasea.mdl
14	87,275	-159,887	-2092	0	6	0	0	models/scenery/furniture/endtable/endtable.mdl
15	87,275	-159,887	-2032	0	6	0	0	models/scenery/furniture/vase/vasea.mdl
16	-197	-165	-2078	16	6	0	0	models/scenery/furniture/nightstandhotel/nightstandhotel.mdl
17	-36,519	-181,83	-2092	0	6	0	0	models/scenery/furniture/nightstandhotel/nightstandhotel.mdl
18	-36,519	-183,83	-2056,99	0	6	0	0	models/scenery/furniture/phone_stylish/phone2.mdl
19	-24	-105	-2067,77	2	6	0	0	models/scenery/furniture/couch/bloodcouch.mdl
20	1077,55	1994	-2187	16	0	0	0	models/items/CarStereo/Ground/CarStereo.mdl
21	1077,55	1993	-2185	16	0	0	0	models/items/CarStereo/Ground/CarStereo.mdl
22	1007	2196,5	-2185	16	0	0	0	models/items/rings/ground/Ring01.mdl
23	1006	2200	-2185	16	0	0	0	models/items/rings/ground/Ring02.mdl
24	1007	2194	-2185	16	0	0	0	models/items/rings/ground/Ring03.mdl
25	998	2205	-2181,39	16	0	0	0	models/items/Watch/Ground/watch.mdl
26	998	2210	-2181,39	16	0	0	0	models/items/Watch/Ground/watch_02.mdl
27	995	2158	-2188	16	0	0	0	models/scenery/misc/jewelry/chaindisplay.mdl
28	1006	2156	-2188	16	0	0	0	models/scenery/misc/jewelry/earringdisplay.mdl
