ObjNum	OriginX	OriginY	OriginZ	Flags	Solid	FadeMinDist	FadeMaxDist	PropTypeEntry
0	-977,766	1090,11	-20,4087	16	6	0	0	models/scenery/furniture/LampFloor/LampFloor.mdl
1	-558,234	1090,11	-20,4087	16	6	0	0	models/scenery/furniture/LampFloor/LampFloor.mdl
2	-765,907	683,23	54	16	6	0	0	models/scenery/furniture/lighte/lighte.mdl
3	-768,907	1131,77	54	16	6	0	0	models/scenery/furniture/lighte/lighte.mdl
4	565,907	681,77	54	16	6	0	0	models/scenery/furniture/lighte/lighte.mdl
5	661,093	947,77	86	16	6	0	0	models/scenery/furniture/lighte/lighte.mdl
6	-4656,14	1859,58	-207,849	16	0	0	0	models/scenery/structural/diner/pillars2.mdl
7	-4729,14	1932,58	-207,849	16	0	0	0	models/scenery/structural/diner/pillars.mdl
8	-4560,99	1727,96	-230,15	1	6	2250	2500	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
9	-4549,09	493	4786,64	0	6	0	0	models/scenery/street/pierlight/pierlightskybox_hol.mdl
10	-4549,09	587	4786,64	0	6	0	0	models/scenery/street/pierlight/pierlightskybox_hol.mdl
11	-4580,6	579	4786,64	0	6	0	0	models/scenery/street/pierlight/pierlightskybox_hol.mdl
12	-4418,72	473,04	-160,012	1	6	2250	2500	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
13	-4580,35	482	4786,64	0	6	0	0	models/scenery/street/pierlight/pierlightskybox_hol.mdl
14	0,168823	547	106	0	0	0	0	models/scenery/theater/gold_trim.mdl
15	-389,737	358,283	-108,197	1	6	1500	2000	models/scenery/structural/handrailb/handrailbbrass.mdl
16	-301,746	358,228	-108,197	1	6	1500	2000	models/scenery/structural/handrailb/handrailbbrass.mdl
17	464,065	358,062	-108,197	1	6	1500	2000	models/scenery/structural/handrailb/handrailbbrass.mdl
18	377,065	358,062	-108,197	1	6	1500	2000	models/scenery/structural/handrailb/handrailbbrass.mdl
19	290,065	358,062	-108,197	1	6	1500	2000	models/scenery/structural/handrailb/handrailbbrass.mdl
20	221	320	-108,197	1	6	1500	2000	models/scenery/structural/handrailb/handrailbbrass.mdl
21	158	261	-108,197	1	6	1500	2000	models/scenery/structural/handrailb/handrailbbrass.mdl
22	80	226	-108,197	1	6	1500	2000	models/scenery/structural/handrailb/handrailbbrass.mdl
23	-6	216	-108,197	1	6	1500	2000	models/scenery/structural/handrailb/handrailbbrass.mdl
24	-92	229	-108,197	1	6	1500	2000	models/scenery/structural/handrailb/handrailbbrass.mdl
25	-169	268	-108,197	1	6	1500	2000	models/scenery/structural/handrailb/handrailbbrass.mdl
26	-229	328	-108,197	1	6	1500	2000	models/scenery/structural/handrailb/handrailbbrass.mdl
27	-228,563	89,0839	-108	16	0	0	0	models/scenery/furniture/theat_chair/group1_right.mdl
28	227,437	86,9161	-108	16	0	0	0	models/scenery/furniture/theat_chair/group1_left.mdl
29	-232	-361	-68	16	0	0	0	models/scenery/furniture/theat_chair/group2_right.mdl
30	232	-362,037	-68,0146	16	0	0	0	models/scenery/furniture/theat_chair/group2.mdl
31	-196	-350	216	16	0	0	0	models/scenery/furniture/theat_chair/group3.mdl
32	207	-347	216	16	0	0	0	models/scenery/furniture/theat_chair/group3m.mdl
33	-196	572	112	16	6	0	0	models/scenery/structural/chinese/curtain4.mdl
34	184	572	112	16	6	0	0	models/scenery/structural/chinese/curtain4.mdl
35	-196	582	112	16	6	0	0	models/scenery/structural/chinese/curtain4.mdl
36	184	582	112	16	6	0	0	models/scenery/structural/chinese/curtain4.mdl
37	124	820	-20	16	6	0	0	models/scenery/theater/speaker_1.mdl
38	92	772	-48	16	6	0	0	models/scenery/theater/speaker_2.mdl
39	348	596	4	16	6	0	0	models/scenery/theater/stage_box_1.mdl
40	98	656	312	16	6	0	0	models/scenery/theater/stage_light.mdl
41	232	800	-36	16	6	0	0	models/scenery/theater/stage_stuff_1.mdl
42	107	629	-43	16	6	0	0	models/scenery/theater/storage_1.mdl
43	392	596	4	16	6	0	0	models/scenery/theater/stage_box_1.mdl
44	436	596	4	16	6	0	0	models/scenery/theater/stage_box_1.mdl
45	348	824	-43	16	6	0	0	models/scenery/theater/storage_1.mdl
46	420	820	-43	16	6	0	0	models/scenery/theater/storage_1.mdl
47	340	748	-43	16	6	0	0	models/scenery/theater/storage_1.mdl
48	-186,454	784,042	-43	16	6	0	0	models/scenery/theater/storage_1.mdl
49	-126,895	762,597	-43	16	6	0	0	models/scenery/theater/storage_1.mdl
50	-254,032	774,588	-43	16	6	0	0	models/scenery/theater/storage_1.mdl
51	-84	796	-36	16	6	0	0	models/scenery/theater/stage_stuff_1.mdl
52	-18,5592	844,255	4	16	6	0	0	models/scenery/theater/stage_box_1.mdl
53	-286,687	613,51	351,078	0	0	0	0	models/scenery/structural/sewer/railing_post.mdl
54	-286,687	593	356,078	0	0	0	0	models/scenery/structural/sewer/railing.mdl
55	-286,716	654,447	351,078	0	0	0	0	models/scenery/structural/sewer/railing_post.mdl
56	-286,716	633,937	356,078	0	0	0	0	models/scenery/structural/sewer/railing.mdl
57	-266	654,313	356,078	0	0	0	0	models/scenery/structural/sewer/railing.mdl
58	-244,49	654,313	351,078	0	0	0	0	models/scenery/structural/sewer/railing_post.mdl
59	-224,064	654,342	356,078	0	0	0	0	models/scenery/structural/sewer/railing.mdl
60	-203,554	654,342	351,078	0	0	0	0	models/scenery/structural/sewer/railing_post.mdl
61	-161,7	654,348	351,078	0	0	0	0	models/scenery/structural/sewer/railing_post.mdl
62	-182,21	654,348	356,078	0	0	0	0	models/scenery/structural/sewer/railing.mdl
63	-158,313	657,641	351,078	0	0	0	0	models/scenery/structural/sewer/railing_post.mdl
