ObjNum	OriginX	OriginY	OriginZ	Flags	Solid	FadeMinDist	FadeMaxDist	PropTypeEntry
0	311	802	-67	17	6	1800	2500	models/scenery/street/payphone/payphone_pair.mdl
1	-507,632	688,102	161,04	1	6	1800	2500	models/scenery/street/powerpole/powerpole.mdl
2	-734,147	-16,9336	161,04	1	6	1800	2500	models/scenery/street/powerpole/powerpole.mdl
3	105,649	780,143	132,04	1	6	1800	2500	models/scenery/street/powerpole/powerpole.mdl
4	860,574	575,501	133,04	1	0	1800	2500	models/scenery/street/powerpole/powerpole.mdl
5	475,515	-1031	161,04	1	6	1800	2500	models/scenery/street/powerpole/powerpole.mdl
6	-693,907	452,077	-39,9959	0	6	0	0	models/scenery/vehicles/LightningBird/LightningBird_Green.mdl
7	-1390	211,35	-8,0038	16	6	0	0	models/scenery/misc/cage_light/cage_wall.mdl
8	-1658	200,35	-8,0038	16	6	0	0	models/scenery/misc/cage_light/cage_wall.mdl
9	-1353	-238,65	-8,0038	16	6	0	0	models/scenery/misc/cage_light/cage_wall.mdl
10	-1601,2	81,6333	-198,463	0	6	0	0	models/scenery/misc/boilerroom/boiler.mdl
11	-1737,2	80,6333	-77	0	6	0	0	models/scenery/structural/oilfield/pipestackbend.mdl
12	-1693	-236,65	-8,0038	16	6	0	0	models/scenery/misc/cage_light/cage_wall.mdl
13	-1352	84,1587	-88	0	6	0	0	models/scenery/structural/SewerPipes/PipeLarge_P10.mdl
14	-1351,92	83,9207	-78	0	6	0	0	models/scenery/structural/SewerPipes/PipeLarge_P4.mdl
15	-1377,98	83,9207	-142	16	0	0	0	models/scenery/pipes/VALVE_WHEEL/valve_wheel.mdl
16	-1399,24	-291,647	-30,8822	0	6	0	0	models/scenery/structural/oilfield/pipestackbend.mdl
17	-1493	-292	-32,9528	0	6	0	0	models/scenery/structural/oilfield/pipestackb.mdl
18	-1632	-291,807	-32,9528	0	6	0	0	models/scenery/structural/oilfield/pipestackb.mdl
19	-1723,23	-291,754	-30,8822	0	6	0	0	models/scenery/structural/oilfield/pipestackbend.mdl
20	-1753,67	-280,063	-17,5255	0	0	0	0	models/scenery/structural/hollywood/overpasspipes.mdl
21	-1753,63	-152	-17,5255	0	0	0	0	models/scenery/structural/hollywood/overpasspipes.mdl
22	-1753,58	-24,0001	-17,5255	0	0	0	0	models/scenery/structural/hollywood/overpasspipes.mdl
23	-1753,67	104	-17,5255	0	0	0	0	models/scenery/structural/hollywood/overpasspipes.mdl
24	-1753,63	232	-17,5255	0	0	0	0	models/scenery/structural/hollywood/overpasspipes.mdl
25	-423,321	583,722	96,975	1	3	2250	2500	models/scenery/structural/wire/wireb.mdl
26	-349,166	519,833	-13	16	6	0	0	models/scenery/furniture/FloorJack/FloorJack.mdl
27	-42	589,505	14,0866	16	6	0	0	models/scenery/furniture/metalshelving/metalshelfA.mdl
28	-41,5966	618,01	14,0866	16	6	0	0	models/scenery/furniture/metalshelving/metalshelfB.mdl
29	-48	615	65	16	6	0	0	models/scenery/furniture/MilkCrate/MilkCrate.mdl
30	64,8342	164,534	6	16	6	0	0	models/scenery/furniture/Vice/Vice.mdl
31	14,9869	489,807	-25	16	6	0	0	models/scenery/misc/boxes/box3.mdl
32	15,9869	493,807	-4,4081	16	6	0	0	models/scenery/misc/boxes/box4.mdl
33	8,98695	481,807	-8,353	16	6	0	0	models/scenery/misc/boxes/box5.mdl
34	49	28	-37	16	6	0	0	models/scenery/misc/generator/generator.mdl
35	-91,9992	327,61	-37	16	6	0	0	models/scenery/misc/lift/lift.mdl
36	79	476	-36,9907	16	6	0	0	models/scenery/misc/metalbucket/themetalbucket.mdl
37	-256,726	21,1091	-37	16	6	0	0	models/scenery/misc/mop/mop.mdl
38	72,9792	362,827	3,1263	16	6	0	0	models/scenery/misc/toolboxes/toolbox_b.mdl
39	57,0555	372,868	-32,1135	16	6	0	0	models/scenery/misc/toolboxes/toolboxtop_a.mdl
40	57,0555	372,868	-32,1135	16	6	0	0	models/scenery/misc/toolboxes/toolboxbottom_a.mdl
41	-158,503	552,865	-35	16	6	0	0	models/scenery/misc/woodbox/box.mdl
42	-162,493	526,162	-17,7621	16	6	0	0	models/scenery/misc/woodbox/lid.mdl
43	-134	543	-37	16	6	0	0	models/scenery/misc/wooden_spool/wooden_spool.mdl
44	72,8342	346,827	-37	16	6	0	0	models/scenery/misc/workbench/workbench.mdl
45	72,8342	185,534	-37	16	6	0	0	models/scenery/misc/workbench/workbench.mdl
46	-272,166	587,338	-8,8177	16	0	0	0	models/scenery/vehicles/JunkedCar01/JunkedCar01.mdl
47	408	174	238,497	0	6	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
48	408	292	238,497	0	6	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
49	408	410	238,497	0	6	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
50	-91,9992	199,61	-37	16	6	0	0	models/scenery/misc/lift/lift.mdl
51	-91,9992	456,61	-37	16	6	0	0	models/scenery/misc/lift/lift.mdl
52	-299,726	48,1091	-13	16	6	0	0	models/scenery/furniture/FloorJack/FloorJack.mdl
53	67,7594	392	122,179	1	6	1500	2000	models/scenery/structural/zhaos/boxes.mdl
54	65,6603	467	122,14	1	0	1500	2000	models/scenery/structural/zhaos/boxesc.mdl
55	51	597	-26,6994	1	6	1500	2000	models/scenery/structural/zhaos/boxes.mdl
56	79	54	-17	16	6	0	0	models/scenery/furniture/DiagnosticsMachine/DiagnosticsMachine.mdl
57	79	292	-17	16	6	0	0	models/scenery/furniture/DiagnosticsMachine/DiagnosticsMachine.mdl
58	79	499	-17	16	6	0	0	models/scenery/furniture/DiagnosticsMachine/DiagnosticsMachine.mdl
59	-342,726	22,4918	14,0866	16	6	0	0	models/scenery/furniture/metalshelving/metalshelfB.mdl
60	-47,67	73,62	101,16	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
61	-48,67	73,62	101,16	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
62	-47,67	73,28	101,08	1	6	1536	2048	models/scenery/structural/shoplight/shoplight.mdl
63	-327,67	200,28	104,08	1	6	1536	2048	models/scenery/structural/shoplight/shoplight.mdl
64	-328,67	200,62	104,16	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
65	-327,67	200,62	104,16	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
66	-47,67	200,28	101	1	6	1536	2048	models/scenery/structural/shoplight/shoplight.mdl
67	-47,67	200,62	101,08	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
68	-48,67	200,62	101,08	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
69	-47,67	326,28	101,08	1	6	1536	2048	models/scenery/structural/shoplight/shoplight.mdl
70	-48,67	326,62	101,16	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
71	-47,67	326,62	101,16	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
72	-327,67	326,28	99,08	1	6	1536	2048	models/scenery/structural/shoplight/shoplight.mdl
73	-327,67	456,28	102,08	1	6	1536	2048	models/scenery/structural/shoplight/shoplight.mdl
74	-328,67	456,62	102,16	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
75	-327,67	456,62	102,16	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
76	-48,67	456,62	101,08	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
77	-47,67	456,62	101,08	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
78	-47,67	456,28	101	1	6	1536	2048	models/scenery/structural/shoplight/shoplight.mdl
79	-327,33	74,321	101,08	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
80	-328,33	74,661	101	1	6	1536	2048	models/scenery/structural/shoplight/shoplight.mdl
81	-328,33	74,321	101,08	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
82	290,691	614,153	54,3857	16	0	0	0	models/scenery/structural/tutorial/stairs.mdl
83	229,468	331,532	219	0	6	0	0	models/scenery/structural/ceiling_fan/ceiling_fan_base.mdl
84	230,912	472,729	237,405	1	3	2250	2500	models/scenery/furniture/lightb/lightb.mdl
85	242	127,11	148,015	0	6	0	0	models/scenery/misc/lampoffice/lamp1.mdl
86	268,821	145,737	148,015	0	6	0	0	models/scenery/furniture/computer/keyboard.mdl
87	255,381	145,147	148,015	0	6	0	0	models/scenery/furniture/computer/mouse.mdl
88	267,831	137,34	112,015	0	6	0	0	models/scenery/furniture/desk/desk.mdl
89	227,481	139,799	112,026	0	6	0	0	models/scenery/furniture/computer/computer_case.mdl
90	243	142,11	148,427	0	6	0	0	models/scenery/misc/paper/paper3.mdl
91	120	340	150	0	6	0	0	models/scenery/misc/liquor/bottles1.mdl
92	123,334	263,324	144,601	16	6	0	0	models/scenery/misc/boxes/box4.mdl
93	130,334	275,324	140,656	16	6	0	0	models/scenery/misc/boxes/box5.mdl
94	124,334	267,324	124,009	16	6	0	0	models/scenery/misc/boxes/box3.mdl
