"+forward"				"Move forward"
"+back"				"Move back"
"+left"				"Turn left"
"+right"				"Turn right"
"+moveleft"				"Move left (strafe)"
"+moveright"			"Move right (strafe)"
"+jump"				"Jump"
"+duck"				"Crouch"
"+moveup"				"Swim up"
"+movedown"				"Swim down"
"+strafe"				"Strafe modifier"
"+attack"				"Attack"
"+wpn_secondaryatk"		"Attack Mode"
"+reload"				"Reload weapon"
"vdiscipline_last"		"Vampire Power"
"vdiscipline_endall"		"End disciplines"
"+use"				"Use"
"+speed"             		"Walk"
"slot2"				"Melee weapons"
"slot3" 				"Ranged weapons"
"slot5"				"Armor"
"slot6"				"Inventory"
"invprev"				"Previous selection"
"invnext"				"Next selection"
"lastinv"				"Last used weapon"
"dropitem"				"Drop current item"
"showhotkeys"			"Hotkey menu"
"+feed"				"Feed"
"+chareditor"			"Character Editor"
"holster"				"Holster weapon"
"+questlog"				"Quest Log"
"togglecamera"			"Toggle 1st/3rd person view"
"+mlook"				"Mouse look"
"snapshot"				"Take screen shot"
"save quick"			"Quick save"
"load quick"			"Quick load"
"u_i_3"				"Alt Attack (kick)"
"u_i_4"				"Koldunic Sorcery Hotkey"
// removed by wesp "dlghist"				"View dialog history"
// removed by wesp "dlgscrldn"				"Dialog history scroll down"
// removed by wesp "dlgscrlup"				"Dialog history scroll up"
